State,County,County FIPS Code,2010 Population,CO 8-hr,Pb 3-mo,NO2 AM,NO2 1-hr,O3 8hr,PM10 24-hr,PM2.5 Wtd,PM2.5 24-hr,SO2 1-hr
Alabama,BaldwNULL County,1003,182265,NULL,NULL,NULL,NULL,0.057,NULL,7.9,17,NULL
Alabama,Clay County,1027,13932,NULL,NULL,NULL,NULL,NULL,NULL,6.7,14,NULL
Alabama,Colbert County,1033,54428,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alabama,DeKalb County,1049,71109,NULL,NULL,NULL,NULL,0.057,NULL,7.1,17,NULL
Alabama,Elmore County,1051,79303,NULL,NULL,NULL,NULL,0.048,NULL,NULL,NULL,NULL
Alabama,Escambia County,1053,38319,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alabama,Etowah County,1055,104430,NULL,NULL,NULL,NULL,0.053,NULL,7.9,23,NULL
Alabama,Houston County,1069,101547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alabama,Jefferson County,1073,658466,1,NULL,11,44,0.062,83,10.1,25,12
Alabama,Madison County,1089,334811,NULL,NULL,NULL,NULL,0.057,37,7.1,17,NULL
Alabama,Mobile County,1097,412992,NULL,NULL,NULL,NULL,0.054,NULL,8,16,11
Alabama,Montgomery County,1101,229363,NULL,NULL,NULL,NULL,0.053,25,7.9,24,NULL
Alabama,Morgan County,1103,119490,NULL,NULL,NULL,NULL,0.057,NULL,7.1,16,NULL
Alabama,Pike County,1109,32899,NULL,0.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alabama,Russell County,1113,52947,NULL,NULL,NULL,NULL,0.054,NULL,8.5,19,NULL
Alabama,Shelby County,1117,195085,NULL,NULL,NULL,NULL,0.059,NULL,NULL,NULL,37
Alabama,Sumter County,1119,13763,NULL,NULL,NULL,NULL,0.051,NULL,NULL,NULL,3
Alabama,Talladega County,1121,82291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alabama,Tuscaloosa County,1125,194656,NULL,NULL,NULL,NULL,0.052,NULL,7.5,17,NULL
Alabama,Walker County,1127,67023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alaska,Anchorage Municipality,2020,291826,3,NULL,NULL,NULL,NULL,77,5.9,22,NULL
Alaska,Bethel Census Area,2050,17013,NULL,NULL,NULL,NULL,NULL,48,NULL,NULL,NULL
Alaska,Denali Borough,2068,1826,NULL,NULL,NULL,NULL,0.051,NULL,NULL,NULL,NULL
Alaska,Fairbanks North Star Borough,2090,97581,2,NULL,NULL,NULL,0.043,43,12.1,71,30
Alaska,Juneau City aNULL Borough,2110,31275,NULL,NULL,NULL,NULL,NULL,34,4.8,17,NULL
Alaska,Kenai PenNULLsula Borough,2122,55400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alaska,Ketchikan Gateway Borough,2130,13477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alaska,Matanuska-Susitna Borough,2170,88995,NULL,NULL,NULL,NULL,NULL,77,4.6,24,NULL
Alaska,Skagway Municipality,2232,968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona,Apache County,4001,71518,NULL,NULL,NULL,NULL,NULL,43,3.2,13,NULL
Arizona,Cochise County,4003,131346,NULL,NULL,NULL,NULL,0.066,136,NULL,NULL,NULL
Arizona,CoconNULLo County,4005,134421,NULL,NULL,NULL,NULL,0.063,NULL,NULL,NULL,NULL
Arizona,Gila County,4007,53597,NULL,0.03,NULL,NULL,0.081,74,NULL,NULL,70
Arizona,La Paz County,4012,20489,NULL,NULL,NULL,NULL,0.064,148,4.2,11,NULL
Arizona,Maricopa County,4013,3817117,3,NULL,25,57,0.087,199,13.2,37,7
Arizona,Mohave County,4015,200186,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,NULL
Arizona,Navajo County,4017,107449,NULL,NULL,NULL,NULL,0.067,45,NULL,NULL,NULL
Arizona,Pima County,4019,980263,1,NULL,8,37,0.072,211,5.9,14,1
Arizona,PNULLal County,4021,375770,NULL,NULL,NULL,NULL,0.08,624,15.5,41,NULL
Arizona,Santa Cruz County,4023,47420,NULL,NULL,NULL,NULL,NULL,128,10.2,32,NULL
Arizona,Yavapai County,4025,211033,NULL,NULL,NULL,NULL,0.066,NULL,NULL,NULL,NULL
Arizona,Yuma County,4027,195751,NULL,NULL,NULL,NULL,0.067,179,9.1,23,NULL
Arkansas,Arkansas County,5001,19019,NULL,NULL,NULL,NULL,NULL,NULL,7.2,17,NULL
Arkansas,Ashley County,5003,21853,NULL,NULL,NULL,NULL,NULL,NULL,7.4,18,NULL
Arkansas,Benton County,5007,221339,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Clark County,5019,22995,NULL,NULL,NULL,NULL,0.052,NULL,NULL,NULL,NULL
Arkansas,Craighead County,5031,96443,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,CritteNULLen County,5035,50902,NULL,NULL,7,36,0.069,NULL,7.5,17,NULL
Arkansas,Faulkner County,5045,113237,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,GarlaNULL County,5051,96024,NULL,NULL,NULL,NULL,NULL,NULL,8,19,NULL
Arkansas,Jackson County,5067,17997,NULL,NULL,NULL,NULL,NULL,NULL,7.1,22,NULL
Arkansas,Jefferson County,5069,77435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Marion County,5089,16653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Miller County,5091,43462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Mississippi County,5093,46480,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Newton County,5101,8330,NULL,NULL,NULL,NULL,0.06,NULL,NULL,NULL,NULL
Arkansas,Phillips County,5107,21757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Polk County,5113,20662,NULL,NULL,NULL,NULL,0.058,NULL,7.2,21,NULL
Arkansas,Pope County,5115,61754,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Pulaski County,5119,382748,1,NULL,7,36,0.064,35,9.7,24,5
Arkansas,Sebastian County,5131,125744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Union County,5139,41639,NULL,NULL,NULL,NULL,NULL,NULL,8.5,22,NULL
Arkansas,WashNULLgton County,5143,203065,NULL,NULL,NULL,NULL,0.055,33,6.9,16,NULL
Arkansas,White County,5145,77076,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California,Alameda County,6001,1510271,2,NULL,14,48,0.071,NULL,11.8,65,5
California,Amador County,6005,38091,NULL,NULL,NULL,NULL,0.065,NULL,NULL,NULL,NULL
California,Butte County,6007,220000,4,NULL,5,27,0.074,325,16,92,NULL
California,Calaveras County,6009,45578,NULL,NULL,NULL,NULL,0.073,162,12.6,97,NULL
California,Colusa County,6011,21419,NULL,NULL,NULL,NULL,0.052,210,12.2,104,NULL
California,Contra Costa County,6013,1049025,2,NULL,7,34,0.069,43,11.1,66,14
California,Del Norte County,6015,28610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California,El Dorado County,6017,181058,NULL,NULL,NULL,NULL,0.086,169,NULL,NULL,NULL
California,Fresno County,6019,930450,2,NULL,20,54,0.09,320,20.3,124,5
California,Glenn County,6021,28122,NULL,NULL,NULL,NULL,0.056,152,NULL,NULL,NULL
California,Humboldt County,6023,134623,2,NULL,2,16,0.04,131,NULL,NULL,1
California,Imperial County,6025,174528,3,NULL,10,51,0.08,190,12,34,7
California,NULLyo County,6027,18546,1,NULL,NULL,NULL,0.072,526,11.8,308,1
California,Kern County,6029,839631,1,NULL,13,53,0.101,236,20.3,81,NULL
California,KNULLgs County,6031,152982,NULL,NULL,9,44,0.084,323,19.9,87,NULL
California,Lake County,6033,64665,NULL,NULL,NULL,NULL,0.059,114,9.3,85,NULL
California,Los Angeles County,6037,9818605,3,0.02,23,86,0.124,169,14.8,53,3
California,Madera County,6039,150865,NULL,NULL,6,29,0.085,314,16.9,88,NULL
California,MarNULL County,6041,252409,2,NULL,8,36,0.06,39,8.6,41,NULL
California,Mariposa County,6043,18251,NULL,NULL,NULL,NULL,0.091,484,NULL,NULL,NULL
California,MeNULLocNULLo County,6045,87841,NULL,NULL,NULL,NULL,0.059,187,12.4,62,NULL
California,Merced County,6047,255793,NULL,NULL,7,31,0.079,123,15.5,78,NULL
California,Modoc County,6049,9686,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California,Mono County,6051,14202,NULL,NULL,NULL,NULL,NULL,1955,40.3,453,NULL
California,Monterey County,6053,415057,1,NULL,4,25,0.057,218,8.8,64,NULL
California,Napa County,6055,136484,2,NULL,5,26,0.06,81,10.4,57,NULL
California,Nevada County,6057,98764,NULL,NULL,NULL,NULL,0.08,NULL,14.1,90,NULL
California,Orange County,6059,3010232,2,NULL,19,53,0.09,120,12.3,42,NULL
California,Placer County,6061,348432,NULL,NULL,6,NULL,0.083,213,13.4,93,NULL
California,Plumas County,6063,20007,NULL,NULL,NULL,NULL,NULL,NULL,20.9,109,NULL
California,Riverside County,6065,2189641,2,NULL,15,54,0.104,359,14.7,40,2
California,Sacramento County,6067,1418788,2,NULL,11,46,0.078,231,14.7,85,3
California,San Benito County,6069,55269,NULL,NULL,NULL,NULL,0.069,116,8.9,59,NULL
California,San BernardNULLo County,6071,2035210,1,NULL,29,78,0.125,205,15.1,43,5
California,San Diego County,6073,3095313,2,0.02,14,49,0.082,158,20.5,75,1
California,San Francisco County,6075,805235,2,NULL,9,41,0.048,NULL,10.5,40,NULL
California,San JoaquNULL County,6077,685306,2,NULL,11,54,0.068,226,14.8,92,NULL
California,San Luis Obispo County,6079,269637,NULL,NULL,4,26,0.08,280,9.8,63,2
California,San Mateo County,6081,718451,2,NULL,8,38,0.054,NULL,9.8,46,NULL
California,Santa Barbara County,6083,423895,1,NULL,5,28,0.072,103,9.3,37,3
California,Santa Clara County,6085,1781642,2,NULL,14,49,0.069,91,12.5,56,2
California,Santa Cruz County,6087,262382,NULL,NULL,NULL,NULL,0.048,NULL,11,88,NULL
