fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered\
48001,US,TX,Anderson County,county,,iso1:us#iso2:us-tx#fips:48001,,57735,0.026,other,4.5,,0.76,0.76,0.14,,0.54,1,0,1,4,0,0,0,5191,130,,,,226,37,2,0.45,10,5,0,0.58,1,,18233,14932,6/18/21,https://covidactnow.org/us/texas-tx/county/anderson_county,0.316,0.259,0,31050\
48003,US,TX,Andrews County,county,,iso1:us#iso2:us-tx#fips:48003,,18705,0.06,other,0,,1,1.17,,,,0,1,0,4,1,4,4,1837,47,,,,34,18,0,0.18,1,,0,,0,,6261,5453,6/18/21,https://covidactnow.org/us/texas-tx/county/andrews_county,0.335,0.292,0,11492\
48005,US,TX,Angelina County,county,,iso1:us#iso2:us-tx#fips:48005,,86715,0.029,other,0.8,,0.64,0.77,0.31,,0.89,0,0,0,4,0,0,3,8680,286,,,,465,185,10,0.5,32,29,7,0.5,0,,28655,24731,6/18/21,https://covidactnow.org/us/texas-tx/county/angelina_county,0.33,0.285,0,51339\
48007,US,TX,Aransas County,county,,iso1:us#iso2:us-tx#fips:48007,,23510,0.034,other,3,,1.28,1.08,,,,2,1,1,4,2,4,4,1272,41,,,,,,1,,,,0,,0,,11812,10004,6/18/21,https://covidactnow.org/us/texas-tx/county/aransas_county,0.502,0.426,0,21048\
48009,US,TX,Archer County,county,,iso1:us#iso2:us-tx#fips:48009,,8553,0.059,other,0,,1,1.17,,,,0,1,0,4,1,4,4,812,12,,,,,,0,,,,0,,0,,3218,2944,6/18/21,https://covidactnow.org/us/texas-tx/county/archer_county,0.376,0.344,0,5846\
48011,US,TX,Armstrong County,county,,iso1:us#iso2:us-tx#fips:48011,,1887,,other,0,,,,,,,0,4,0,4,4,4,4,204,6,,,,,,0,,,,0,,0,,616,516,6/18/21,https://covidactnow.org/us/texas-tx/county/armstrong_county,0.326,0.273,0,1104\
48013,US,TX,Atascosa County,county,,iso1:us#iso2:us-tx#fips:48013,,51153,0.02,other,3.1,,0.77,0.77,0.08,,0.43,1,0,1,4,0,0,0,5349,151,,,,67,33,1,0.21,8,3,0,0.21,1,,18590,15344,6/18/21,https://covidactnow.org/us/texas-tx/county/atascosa_county,0.363,0.3,0,32646\
48015,US,TX,Austin County,county,,iso1:us#iso2:us-tx#fips:48015,,30032,0.056,other,6.2,,0.95,0.95,0.46,,,1,1,1,4,1,0,4,2223,37,,,,32,1,0,0.07,4,4,1,,4,,11542,9791,6/18/21,https://covidactnow.org/us/texas-tx/county/austin_county,0.384,0.326,0,20052\
48017,US,TX,Bailey County,county,,iso1:us#iso2:us-tx#fips:48017,,7000,0.071,other,16.3,,1.21,1.14,,,,2,1,2,4,2,4,4,852,19,,,,25,2,1,0.09,0,,0,,3,,2294,1985,6/18/21,https://covidactnow.org/us/texas-tx/county/bailey_county,0.328,0.284,0,4068\
48019,US,TX,Bandera County,county,,iso1:us#iso2:us-tx#fips:48019,,23112,0.056,other,4.9,,1.33,0.9,,,,2,1,1,4,2,4,4,1412,28,,,,,,1,,,,0,,0,,8543,7431,6/18/21,https://covidactnow.org/us/texas-tx/county/bandera_county,0.37,0.322,0,14985\
