fips,country,state,county,level,lat,locationId,long,population,PositivityRatio,metrics.testPositivityRatioDetails.source,Density,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,ActualCases,ActualDeaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,ActualHospitalBedCapacity,ActualHospitalBedCurrentUsageTotal,ActualHospitalBedCurrentUsageCovid,ActualHospitalBedTypicalUsageRate,ActualIcuBedsCapacity,ActualIcuBedCurrentUsageTotal,ActualIcuBedCurrentUsageCovid,ActualIcuBedTypicalUsageRate,ActualNewCases,actuals.vaccinesDistributed,ActualVaccinationInitiated,ActualVaccinationCompleted,lastUpdatedDate,url,VaccinationInitaitedRatio,VaccinationCompletedRatio,ActualNewDeaths,ActualVaccinesAdministered
49001,US,UT,Beaver County,county,0.0,iso1:us#iso2:us-ut#fips:49001,0.0,6710,0.027,other,4.3,0.0,1.0,1.17,0.0,0.0,0.0,1,0,1,4,1,4,4,801,7,0.0,0.0,0.0,72.0,38.0,0.0,0.66,0.0,0.0,0.0,0.0,0,0.0,2194,1663,2021-06-21,https://covidactnow.org/us/utah-ut/county/beaver_county,0.327,0.248,0,0.0
49003,US,UT,Box Elder County,county,0.0,iso1:us#iso2:us-ut#fips:49003,0.0,56046,0.07,other,11.5,0.0,0.95,0.71,0.0,0.0,0.0,2,1,2,4,1,4,4,5627,53,0.0,0.0,0.0,63.0,9.0,1.0,0.17,0.0,0.0,0.0,0.0,6,0.0,20593,15608,2021-06-21,https://covidactnow.org/us/utah-ut/county/box_elder_county,0.367,0.278,0,0.0
49005,US,UT,Cache County,county,0.0,iso1:us#iso2:us-ut#fips:49005,0.0,128289,0.05,other,5.6,0.0,0.83,0.51,0.0,0.0,0.51,1,1,1,4,0,4,0,16480,48,0.0,0.0,0.0,174.0,53.0,2.0,0.32,14.0,7.0,1.0,0.31,8,0.0,53934,40877,2021-06-21,https://covidactnow.org/us/utah-ut/county/cache_county,0.42,0.319,0,0.0
49007,US,UT,Carbon County,county,0.0,iso1:us#iso2:us-ut#fips:49007,0.0,20463,0.06,other,11.9,0.0,0.99,0.84,0.0,0.0,0.6,2,1,2,4,1,4,0,1719,17,0.0,0.0,0.0,39.0,17.0,1.0,0.33,6.0,3.0,1.0,0.41,0,0.0,7569,5737,2021-06-21,https://covidactnow.org/us/utah-ut/county/carbon_county,0.37,0.28,0,0.0
49009,US,UT,Daggett County,county,0.0,iso1:us#iso2:us-ut#fips:49009,0.0,950,0.062,other,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,4,4,4,4,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,480,364,2021-06-21,https://covidactnow.org/us/utah-ut/county/daggett_county,0.506,0.383,0,0.0
49011,US,UT,Davis County,county,0.0,iso1:us#iso2:us-ut#fips:49011,0.0,355481,0.053,other,9.5,0.0,1.07,0.24,0.36,0.0,0.82,1,1,1,4,1,0,2,39391,176,0.0,0.0,0.0,474.0,156.0,8.0,0.38,28.0,23.0,4.0,0.56,44,0.0,174134,131977,2021-06-21,https://covidactnow.org/us/utah-ut/county/davis_county,0.49,0.371,1,0.0
49013,US,UT,Duchesne County,county,0.0,iso1:us#iso2:us-ut#fips:49013,0.0,19938,0.062,other,10.7,0.0,0.88,0.82,0.0,0.0,0.21,2,1,2,4,0,4,0,1367,9,0.0,0.0,0.0,49.0,13.0,0.0,0.28,4.0,0.0,0.0,0.0,2,0.0,6506,4931,2021-06-21,https://covidactnow.org/us/utah-ut/county/duchesne_county,0.326,0.247,0,0.0
49015,US,UT,Emery County,county,0.0,iso1:us#iso2:us-ut#fips:49015,0.0,10012,0.102,other,10.0,0.0,1.14,1.17,0.0,0.0,0.0,2,2,1,4,2,4,4,956,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3434,2603,2021-06-21,https://covidactnow.org/us/utah-ut/county/emery_county,0.343,0.26,0,0.0
49017,US,UT,Garfield County,county,0.0,iso1:us#iso2:us-ut#fips:49017,0.0,5051,0.087,other,0.0,0.0,1.0,1.17,0.0,0.0,0.0,0,1,0,4,1,4,4,469,10,0.0,0.0,0.0,36.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,2159,1637,2021-06-21,https://covidactnow.org/us/utah-ut/county/garfield_county,0.428,0.324,0,0.0
49019,US,UT,Grand County,county,0.0,iso1:us#iso2:us-ut#fips:49019,0.0,9754,0.084,other,17.6,0.0,0.84,0.89,0.0,0.0,0.0,2,1,2,4,0,4,4,1045,4,0.0,0.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5217,3954,2021-06-21,https://covidactnow.org/us/utah-ut/county/grand_county,0.535,0.405,0,0.0
