0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Pennsylvania,Adams County,42001,101407,0.009,2.5,9651,187,76,68,4,0.61,14,13,1,0.66,1,43335,37801,0.421,0.367,1,0,0,0.0,2,12,0.061,0,0.0,0,2
Pennsylvania,Allegheny County,42003,1223348,0.01,1.5,101776,2008,7859,4047,66,0.63,533,437,19,0.68,12,792001,611619,0.651,0.503,0,0,3,0.0,9,34,0.071,72,9.8,27,65
Pennsylvania,Armstrong County,42005,68941,0.019,1.5,6012,148,147,38,2,0.32,10,5,1,0.32,0,32698,28651,0.505,0.443,0,0,0,0.0,0,0,0.07,0,7.8,16,0
Pennsylvania,Beaver County,42007,170539,0.015,2.3,15530,387,320,147,4,0.58,19,12,0,0.68,3,77408,66272,0.472,0.404,0,0,0,0.0,8,36,0.067,56,8.5,24,10
Pennsylvania,Berks County,42011,411442,0.016,3.4,48394,1039,1326,619,17,0.72,68,38,4,0.57,10,210543,170624,0.5,0.405,0,0,0,0.03,0,0,0.065,0,7.9,19,0
Pennsylvania,Blair County,42013,127089,0.008,1.2,13517,341,586,301,9,0.66,44,36,2,0.64,0,51423,44007,0.422,0.361,0,0,0,0.0,0,0,0.063,0,7.7,19,4
Pennsylvania,Bradford County,42015,62622,0.041,4.0,6122,94,314,209,16,0.66,38,27,5,0.63,0,19313,17077,0.32,0.283,0,0,0,0.0,2,16,0.054,0,6.6,16,0
Pennsylvania,Bucks County,42017,625249,0.008,0.8,60773,1322,1296,590,19,0.58,107,63,4,0.38,2,349113,278872,0.556,0.444,1,0,0,0.0,0,0,0.071,0,0.0,0,0
Pennsylvania,Cambria County,42021,143679,0.019,5.9,14808,438,576,215,15,0.58,25,20,4,0.62,1,59468,52927,0.457,0.407,0,0,1,0.0,6,31,0.06,40,8.5,21,8
Pennsylvania,Carbon County,42025,65249,0.008,0.9,6391,175,219,56,1,0.5,6,5,1,0.59,0,33913,29204,0.528,0.455,0,0,0,0.06,0,0,0.0,0,0.0,0,0
Pennsylvania,Centre County,42027,153990,0.018,1.5,16908,225,444,127,9,0.62,12,8,1,0.0,0,85618,74835,0.527,0.461,0,0,0,0.0,3,26,0.059,0,7.2,19,2
Pennsylvania,Chester County,42029,498886,0.009,1.2,40765,822,1279,549,12,0.6,96,45,2,0.43,4,378836,229454,0.722,0.437,0,0,0,0.0,0,0,0.06,0,8.3,20,0
Pennsylvania,Clearfield County,42033,81642,0.008,0.9,8640,152,266,119,4,0.55,26,24,1,0.66,1,32955,29735,0.416,0.375,1,0,0,0.0,0,0,0.053,0,0.0,0,0
Pennsylvania,Cumberland County,42041,235406,0.008,3.2,20605,525,1935,304,8,0.74,49,39,1,0.79,1,152805,113823,0.603,0.449,0,0,0,0.0,0,0,0.0,0,7.5,21,0
Pennsylvania,Dauphin County,42043,268100,0.013,1.7,26100,557,679,1088,35,0.81,234,189,6,0.89,3,146703,122452,0.527,0.44,0,0,0,0.0,0,0,0.062,40,9.3,29,0
Pennsylvania,Delaware County,42045,558979,0.01,1.3,52366,1455,1175,657,19,0.57,117,94,3,0.47,4,304532,253239,0.537,0.447,0,0,0,0.0,8,0,0.062,0,9.7,23,0
Pennsylvania,Elk County,42047,31946,0.007,0.0,2868,41,35,11,1,0.64,7,0,2,0.0,0,14954,13473,0.5,0.45,0,0,0,0.0,0,0,0.053,0,0.0,0,0
Pennsylvania,Erie County,42049,280566,0.013,1.2,21193,417,1190,592,11,0.56,117,107,6,0.75,1,136929,119163,0.508,0.442,0,0,1,0.0,4,31,0.061,37,6.5,16,0
Pennsylvania,Fayette County,42051,136606,0.026,5.9,13390,328,224,120,6,0.51,15,11,0,0.71,3,59948,53191,0.464,0.411,0,0,0,0.0,3,15,0.06,0,7.5,17,0
Pennsylvania,Franklin County,42055,149618,0.022,3.0,15447,372,454,200,6,0.5,29,24,2,0.0,2,54349,48577,0.351,0.313,0,0,0,0.0,0,0,0.05,0,0.0,0,0
Pennsylvania,Greene County,42059,38686,0.019,3.2,3346,40,23,6,1,0.35,0,0,0,0.0,0,14575,12179,0.402,0.336,0,0,0,0.0,0,0,0.059,0,6.5,14,0
Pennsylvania,Indiana County,42063,88880,0.012,4.4,6412,178,166,83,5,0.42,12,7,2,0.51,0,32251,28238,0.384,0.336,0,0,0,0.0,0,0,0.066,0,0.0,0,20
Pennsylvania,Lackawanna County,42069,214437,0.021,2.3,18533,480,1037,443,16,0.64,39,34,3,0.57,2,128115,112055,0.611,0.534,0,0,1,0.0,9,43,0.057,0,6.9,19,0
Pennsylvania,Lancaster County,42071,519445,0.014,1.3,55362,1160,1194,595,13,0.61,80,66,3,0.61,7,275117,242921,0.504,0.445,0,0,0,0.04,0,0,0.062,59,8.8,28,0
Pennsylvania,Lawrence County,42073,91108,0.019,4.3,7663,214,215,86,2,0.38,6,5,1,0.28,0,36143,31415,0.423,0.367,0,0,0,0.02,0,0,0.06,0,0.0,0,0
Pennsylvania,Lebanon County,42075,133568,0.012,1.1,16182,294,407,100,7,0.72,14,10,2,0.59,1,61234,53879,0.432,0.38,0,0,0,0.0,0,0,0.03,0,0.0,0,0
Pennsylvania,Lehigh County,42077,349497,0.015,2.0,39817,861,1402,928,30,0.66,116,96,8,0.7,4,231589,186856,0.627,0.506,0,0,0,0.0,0,0,0.063,34,0.0,0,0
