State,County,County FIPS Code,2010 Population,CO 8-hr,Pb 3-mo,NO2 AM,NO2 1-hr,O3 8hr,PM10 24-hr,PM2.5 Wtd,PM2.5 24-hr,SO2 1-hr
Alabama,Baldwin County,1003,182265,0,0,0,0,0.057,0,7.9,17,0
Alabama,Clay County,1027,13932,0,0,0,0,0,0,6.7,14,0
Alabama,Colbert County,1033,54428,0,0,0,0,0,0,0,0,0
Alabama,DeKalb County,1049,71109,0,0,0,0,0.057,0,7.1,17,0
Alabama,Elmore County,1051,79303,0,0,0,0,0.048,0,0,0,0
Alabama,Escambia County,1053,38319,0,0,0,0,0,0,0,0,0
Alabama,Etowah County,1055,104430,0,0,0,0,0.053,0,7.9,23,0
Alabama,Houston County,1069,101547,0,0,0,0,0,0,0,0,0
Alabama,Jefferson County,1073,658466,1,0,11,44,0.062,83,10.1,25,12
Alabama,Madison County,1089,334811,0,0,0,0,0.057,37,7.1,17,0
Alabama,Mobile County,1097,412992,0,0,0,0,0.054,0,8,16,11
Alabama,Montgomery County,1101,229363,0,0,0,0,0.053,25,7.9,24,0
Alabama,Morgan County,1103,119490,0,0,0,0,0.057,0,7.1,16,0
Alabama,Pike County,1109,32899,0,0.17,0,0,0,0,0,0,0
Alabama,Russell County,1113,52947,0,0,0,0,0.054,0,8.5,19,0
Alabama,Shelby County,1117,195085,0,0,0,0,0.059,0,0,0,37
Alabama,Sumter County,1119,13763,0,0,0,0,0.051,0,0,0,3
Alabama,Talladega County,1121,82291,0,0,0,0,0,0,0,0,0
Alabama,Tuscaloosa County,1125,194656,0,0,0,0,0.052,0,7.5,17,0
Alabama,Walker County,1127,67023,0,0,0,0,0,0,0,0,0
Alaska,Anchorage Municipality,2020,291826,3,0,0,0,0,77,5.9,22,0
Alaska,Bethel Census Area,2050,17013,0,0,0,0,0,48,0,0,0
Alaska,Denali Borough,2068,1826,0,0,0,0,0.051,0,0,0,0
Alaska,Fairbanks North Star Borough,2090,97581,2,0,0,0,0.043,43,12.1,71,30
Alaska,Juneau City and Borough,2110,31275,0,0,0,0,0,34,4.8,17,0
Alaska,Kenai Peninsula Borough,2122,55400,0,0,0,0,0,0,0,0,0
Alaska,Ketchikan Gateway Borough,2130,13477,0,0,0,0,0,0,0,0,0
Alaska,Matanuska-Susitna Borough,2170,88995,0,0,0,0,0,77,4.6,24,0
Alaska,Skagway Municipality,2232,968,0,0,0,0,0,0,0,0,0
Arizona,Apache County,4001,71518,0,0,0,0,0,43,3.2,13,0
Arizona,Cochise County,4003,131346,0,0,0,0,0.066,136,0,0,0
Arizona,Coconino County,4005,134421,0,0,0,0,0.063,0,0,0,0
Arizona,Gila County,4007,53597,0,0.03,0,0,0.081,74,0,0,70
Arizona,La Paz County,4012,20489,0,0,0,0,0.064,148,4.2,11,0
Arizona,Maricopa County,4013,3817117,3,0,25,57,0.087,199,13.2,37,7
Arizona,Mohave County,4015,200186,0,0,0,0,0,127,0,0,0
Arizona,Navajo County,4017,107449,0,0,0,0,0.067,45,0,0,0
Arizona,Pima County,4019,980263,1,0,8,37,0.072,211,5.9,14,1
Arizona,Pinal County,4021,375770,0,0,0,0,0.08,624,15.5,41,0
Arizona,Santa Cruz County,4023,47420,0,0,0,0,0,128,10.2,32,0
Arizona,Yavapai County,4025,211033,0,0,0,0,0.066,0,0,0,0
Arizona,Yuma County,4027,195751,0,0,0,0,0.067,179,9.1,23,0
Arkansas,Arkansas County,5001,19019,0,0,0,0,0,0,7.2,17,0
Arkansas,Ashley County,5003,21853,0,0,0,0,0,0,7.4,18,0
Arkansas,Benton County,5007,221339,0,0,0,0,0,0,0,0,0
Arkansas,Clark County,5019,22995,0,0,0,0,0.052,0,0,0,0
Arkansas,Craighead County,5031,96443,0,0,0,0,0,0,0,0,0
Arkansas,Crittenden County,5035,50902,0,0,7,36,0.069,0,7.5,17,0
Arkansas,Faulkner County,5045,113237,0,0,0,0,0,0,0,0,0
Arkansas,Garland County,5051,96024,0,0,0,0,0,0,8,19,0
Arkansas,Jackson County,5067,17997,0,0,0,0,0,0,7.1,22,0
Arkansas,Jefferson County,5069,77435,0,0,0,0,0,0,0,0,0
Arkansas,Marion County,5089,16653,0,0,0,0,0,0,0,0,0
Arkansas,Miller County,5091,43462,0,0,0,0,0,0,0,0,0
Arkansas,Mississippi County,5093,46480,0,0,0,0,0,0,0,0,0
Arkansas,Newton County,5101,8330,0,0,0,0,0.06,0,0,0,0
Arkansas,Phillips County,5107,21757,0,0,0,0,0,0,0,0,0
Arkansas,Polk County,5113,20662,0,0,0,0,0.058,0,7.2,21,0
Arkansas,Pope County,5115,61754,0,0,0,0,0,0,0,0,0
